SiteCollection,Url,Title,ListName,Principal,Permission,Member,LoginName,UserPrincipalName,Email
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main,Hoin Portal,N/A,Hoin Portal Owners,Full Control,Administrator,hoin\administrator,Administrator@hoin.shop,Administrator@hoin.shop
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main,Hoin Portal,N/A,"Heming, Sean",Limited Access,N/A,N/A,heming@hoin.shop,heming@hoin.shop
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main,Hoin Portal,Documents,Hoin Portal Owners,Full Control,Administrator,hoin\administrator,Administrator@hoin.shop,Administrator@hoin.shop
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main,Hoin Portal,Documents,"Heming, Sean",View Only,N/A,N/A,heming@hoin.shop,heming@hoin.shop
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main,Hoin Portal,TaxonomyHiddenList,Everyone,Read,N/A,N/A,,
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main/Ateam,ATeam,N/A,ATeam Owners,Full Control,Administrator,hoin\administrator,Administrator@hoin.shop,Administrator@hoin.shop
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main/Ateam,ATeam,N/A,ATeam Owners,Full Control,dev,hoin\dev,dev@hoin.shop,dev@hoin.shop
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main/Ateam,ATeam,N/A,ATeam Members,Edit,Administrator,hoin\administrator,Administrator@hoin.shop,Administrator@hoin.shop
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main/Ateam,ATeam,N/A,ATeam Members,Edit,"Heming, Sean",hoin\heming,heming@hoin.shop,heming@hoin.shop
https://sp.hoin.shop/sites/main,https://sp.hoin.shop/sites/main/Ateam,ATeam,N/A,AteamCollab,Read,Administrator,hoin\administrator,Administrator@hoin.shop,Administrator@hoin.shop
